Region;Del;Kon;Tema;Varde_stand
0127 Botkyrka;Livskvalitet;Män;T3;34,301780693533310
0127 Botkyrka;Livskvalitet;Män;T4;92,570036540803898
0127 Botkyrka;Livskvalitet;Män;T5;43,842920520857717
0127 Botkyrka;Livskvalitet;Män;T6;52,303311331690153
0127 Botkyrka;Livskvalitet;Män;T7;29,861912936500921
0127 Botkyrka;Livskvalitet;Män;T8;105,831123141184818
0127 Botkyrka;Livskvalitet;Män;T9;57,706870841003642
0127 Botkyrka;Livskvalitet;Totalt;T1;15,597151243197542
0127 Botkyrka;Livskvalitet;Totalt;T10;47,823383694152298
0127 Botkyrka;Livskvalitet;Totalt;T11;27,681124476372016
0127 Botkyrka;Livskvalitet;Totalt;T12;37,148585110541632
0127 Botkyrka;Livskvalitet;Totalt;T2;58,815970886003846
0127 Botkyrka;Livskvalitet;Totalt;T3;64,181803518148129
0127 Botkyrka;Livskvalitet;Totalt;T4;93,645587680684173
0127 Botkyrka;Livskvalitet;Totalt;T5;37,452499376854142
0127 Botkyrka;Livskvalitet;Totalt;T6;42,157647867369391
0127 Botkyrka;Livskvalitet;Totalt;T7;32,659992589253726
0127 Botkyrka;Livskvalitet;Totalt;T8;84,088731192034629
0127 Botkyrka;Livskvalitet;Totalt;T9;51,601234773358321
0128 Salem;Hållbarhet;Kvinnor;Ekonomi;28,062076069167897
0128 Salem;Hållbarhet;Kvinnor;Social;50,942404637154908
0128 Salem;Hållbarhet;Män;Ekonomi;38,549464871281863
0128 Salem;Hållbarhet;Män;Social;55,491249095299089
0128 Salem;Hållbarhet;Totalt;Ekonomi;33,465004284271458
0128 Salem;Hållbarhet;Totalt;Miljö;80,360273513361861
0128 Salem;Hållbarhet;Totalt;Social;65,175207462390290
0128 Salem;Livskvalitet;Kvinnor;T1;71,690767519466078
0128 Salem;Livskvalitet;Kvinnor;T10;71,855365529468330
0128 Salem;Livskvalitet;Kvinnor;T11;64,747040978509830
0128 Salem;Livskvalitet;Kvinnor;T12;48,460705549391193
0128 Salem;Livskvalitet;Kvinnor;T2;35,506691224532460
0128 Salem;Livskvalitet;Kvinnor;T3;52,389878163074023
0128 Salem;Livskvalitet;Kvinnor;T4;93,422655298416558
0128 Salem;Livskvalitet;Kvinnor;T5;37,435839061732722
0128 Salem;Livskvalitet;Kvinnor;T6;56,790918424885149
0128 Salem;Livskvalitet;Kvinnor;T7;73,838461962554589
0128 Salem;Livskvalitet;Kvinnor;T8;53,853191302286398
0128 Salem;Livskvalitet;Kvinnor;T9;70,590504962415110
0128 Salem;Livskvalitet;Män;T1;59,955506117908783
0128 Salem;Livskvalitet;Män;T10;47,558428238013896
0128 Salem;Livskvalitet;Män;T11;39,646586118677966
0128 Salem;Livskvalitet;Män;T12;54,493316301616531
0128 Salem;Livskvalitet;Män;T2;69,784037164385495
0128 Salem;Livskvalitet;Män;T3;34,301780693533310
0128 Salem;Livskvalitet;Män;T4;92,448233861144956
0128 Salem;Livskvalitet;Män;T5;60,165746536748109
0128 Salem;Livskvalitet;Män;T6;60,858406785503362
0128 Salem;Livskvalitet;Män;T7;67,812603199458678
0128 Salem;Livskvalitet;Män;T8;99,879019108748139
